iter	Logloss
0	0.6316701253
1	0.5826257536
2	0.5398917806
3	0.5054256943
4	0.4726691722
5	0.4462546405
6	0.4227029932
7	0.404688782
8	0.3878179418
9	0.3744193287
10	0.3637357507
11	0.3542664242
12	0.3461456391
13	0.3386357587
14	0.3325923234
15	0.3254010999
16	0.3198742951
17	0.3146151177
18	0.3107963099
19	0.3070088108
20	0.3040806664
21	0.3015614701
22	0.2994930022
23	0.2981385233
24	0.2960852961
25	0.2942897995
26	0.2929268739
27	0.2914300832
28	0.2900821013
29	0.2888466599
30	0.2877488535
31	0.2868693408
32	0.2860140572
33	0.2851168514
34	0.2845384695
35	0.2839672457
36	0.2831418574
37	0.2822948441
38	0.281650721
39	0.2808588059
40	0.2801733002
41	0.2795708087
42	0.2790145212
43	0.278447152
44	0.2782317006
45	0.2777997406
46	0.2774225903
47	0.2770318033
48	0.2766229121
49	0.2762596466
50	0.2757713001
51	0.2753598704
52	0.2749677896
53	0.2746140802
54	0.2742312106
55	0.2738417161
56	0.2734223042
57	0.2731435991
58	0.2728169102
59	0.2724487978
60	0.2721556449
61	0.2718575724
62	0.2716401033
63	0.2714016086
64	0.2712126389
65	0.2709415462
66	0.2707508717
67	0.2704898194
68	0.27024719
69	0.2700668977
70	0.2698672606
71	0.2696298327
72	0.2693199894
73	0.2691143394
74	0.2687377446
75	0.2685659176
76	0.2682458619
77	0.2680065485
78	0.2677782519
79	0.2675114095
80	0.2673117016
81	0.2671621406
82	0.2669613643
83	0.2668461429
84	0.2666867863
85	0.2664875632
86	0.2663223572
87	0.2661379312
88	0.2658551366
89	0.2656754297
90	0.2655269504
91	0.2653696105
92	0.2651955189
93	0.2650366881
94	0.2649117704
95	0.2647164299
96	0.2644813721
97	0.2642872755
98	0.2641049249
99	0.263929642
100	0.2637971843
101	0.2636384502
102	0.2634645325
103	0.2633243578
104	0.2631877017
105	0.2630361964
106	0.2628682635
107	0.2626848359
108	0.2624850742
109	0.2623029742
110	0.2621363946
111	0.2619751596
112	0.261853047
113	0.2616099734
114	0.2614526235
115	0.2612644721
116	0.2611022039
117	0.2609446623
118	0.2607423919
119	0.2606178703
120	0.2604589639
121	0.2602426451
122	0.2601067314
123	0.2599701324
124	0.259866827
125	0.2597007482
126	0.2595723731
127	0.2594847468
128	0.2593915061
129	0.2592128022
130	0.2589759407
131	0.2588738071
132	0.2587194302
133	0.2585838055
134	0.258465163
135	0.2583047537
136	0.2581429213
137	0.2580480702
138	0.2579250291
139	0.2578053768
140	0.2576876314
141	0.2575400787
142	0.2574365941
143	0.2572977918
144	0.2571643626
145	0.2570456743
146	0.2568974296
147	0.2567790881
148	0.2566462981
149	0.2565251392
150	0.2564067828
151	0.2562793937
152	0.2561607787
153	0.2560214714
154	0.2559018247
155	0.2558300741
