iter	Passed	Remaining
0	32	32078
1	52	25953
2	71	23762
3	91	22735
4	113	22599
5	134	22238
6	161	22915
7	182	22660
8	203	22371
9	224	22176
10	246	22148
11	266	21954
12	287	21843
13	308	21701
14	328	21595
15	349	21503
16	371	21484
17	397	21699
18	419	21658
19	440	21588
20	462	21561
21	483	21504
22	505	21492
23	527	21461
24	547	21361
25	568	21283
26	589	21241
27	611	21228
28	634	21235
29	656	21236
30	677	21192
31	699	21163
32	720	21119
33	742	21096
34	762	21031
35	784	21002
36	807	21016
37	827	20953
38	849	20935
39	870	20891
40	892	20879
41	914	20854
42	936	20840
43	960	20861
44	981	20836
45	1006	20876
46	1028	20851
47	1048	20793
48	1072	20818
49	1097	20846
50	1117	20799
51	1139	20770
52	1162	20762
53	1186	20786
54	1209	20776
55	1231	20757
56	1255	20771
57	1277	20754
58	1301	20752
59	1323	20728
60	1345	20708
61	1369	20719
62	1392	20709
63	1413	20678
64	1437	20675
65	1457	20630
66	1479	20597
67	1502	20593
68	1522	20537
69	1542	20490
70	1563	20456
71	1585	20429
72	1606	20404
73	1628	20383
74	1651	20372
75	1672	20334
76	1693	20303
77	1718	20313
78	1738	20272
79	1761	20252
80	1784	20251
81	1806	20220
82	1826	20182
83	1848	20162
84	1869	20123
85	1890	20087
86	1913	20079
87	1934	20046
88	1956	20029
89	1981	20032
90	2001	19996
91	2022	19956
92	2042	19923
93	2064	19899
94	2085	19863
95	2105	19830
96	2129	19822
97	2150	19793
98	2171	19761
99	2192	19735
100	2215	19719
101	2237	19694
102	2258	19664
103	2281	19652
104	2301	19620
105	2323	19593
106	2345	19578
107	2370	19576
108	2393	19567
109	2414	19535
110	2436	19513
111	2458	19495
112	2478	19458
113	2500	19431
114	2521	19402
115	2543	19385
116	2564	19354
117	2584	19321
118	2605	19285
119	2626	19263
120	2647	19232
121	2668	19202
122	2690	19182
123	2711	19153
124	2732	19127
125	2754	19103
126	2776	19088
127	2796	19048
128	2816	19017
129	2843	19028
130	2872	19055
131	2895	19041
132	2919	19028
133	2941	19007
134	2961	18973
135	2984	18957
136	3005	18934
137	3027	18908
138	3046	18871
139	3068	18848
140	3091	18833
141	3122	18865
142	3147	18863
143	3172	18858
144	3196	18847
145	3222	18847
146	3247	18842
147	3275	18855
148	3297	18834
149	3322	18826
150	3343	18800
151	3370	18805
152	3391	18774
153	3413	18750
154	3435	18730
155	3455	18697
156	3477	18671
157	3501	18662
158	3522	18632
159	3544	18607
160	3567	18589
161	3587	18556
162	3608	18529
163	3630	18506
164	3651	18479
165	3671	18447
166	3693	18422
167	3716	18406
168	3737	18377
169	3758	18351
170	3780	18325
171	3801	18298
172	3821	18270
173	3843	18244
174	3866	18227
175	3886	18197
176	3907	18168
177	3928	18143
178	3954	18139
179	3974	18107
180	3996	18083
181	4015	18048
182	4037	18026
183	4062	18016
184	4083	17989
185	4103	17957
186	4124	17933
187	4147	17914
188	4169	17891
189	4189	17860
190	4209	17828
191	4233	17814
192	4253	17784
193	4274	17760
194	4297	17741
195	4317	17709
196	4340	17693
197	4367	17690
198	4422	17802
199	4445	17780
200	4464	17747
201	4483	17712
202	4503	17682
203	4526	17660
204	4546	17631
205	4567	17604
206	4587	17575
207	4609	17549
208	4628	17516
209	4648	17487
210	4667	17452
211	4688	17425
212	4711	17407
213	4732	17380
214	4753	17354
215	4775	17333
216	4795	17303
217	4817	17282
218	4841	17264
219	4863	17242
220	4890	17236
221	4910	17209
222	4932	17187
223	4955	17165
224	4982	17163
225	5005	17142
226	5026	17117
227	5046	17087
228	5069	17066
229	5091	17044
230	5113	17022
231	5138	17009
232	5160	16987
233	5182	16963
234	5203	16938
235	5223	16909
236	5245	16888
237	5268	16869
238	5290	16844
239	5310	16818
240	5334	16800
241	5361	16794
242	5380	16760
243	5398	16726
244	5420	16703
245	5441	16679
246	5461	16650
